ROW_ID,ORDER_ID,ORDER_DATE,SHIP_DATE,SHIP_METHOD,CUSTOMER_ID,CUSTOMER_NAME,CUST_CATEGORY,CITY,PROVINCE,COUNTRY,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,SALES,QUANTITY,DISCOUNT,PROFIT
1,US-202023-1357144,2024-04-27,2024-04-29,二级,曾惠-14485,曾惠,公司,杭州,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,"Fiskars 剪刀, 蓝色",129.696,2,0.4,-60.704
2,CN-202023-1973789,2024-06-15,2024-06-19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-信封-10004832,办公用品,信封,"GlobeWeis 搭扣信封, 红色",125.44,2,0.0,42.56
3,CN-202023-1973789,2024-06-15,2024-06-19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-装订-10001505,办公用品,装订机,"Cardinal 孔加固材料, 回收",31.92,2,0.4,4.2
4,US-202023-3017568,2024-12-09,2024-12-13,标准级,宋良-17170,宋良,公司,镇江,江苏,中国,华东,办公用-用品-10003746,办公用品,用品,"Kleencut 开信刀, 工业",321.216,4,0.4,-27.104
12,CN-202023-5801711,2024-06-01,2024-06-06,标准级,康青-19585,康青,消费者,哈尔滨,黑龙江,中国,东北,技术-复印-10002416,技术,复印机,"惠普 墨水, 红色",2368.8,4,0.0,639.52
18,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.14
19,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.94
20,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1
21,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84
22,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.42
23,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-复印-10002045,技术,复印机,"Hewlett 传真机, 数字化",4473.84,3,0.0,1162.98
24,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10004353,办公用品,用品,"Elite 开信刀, 工业",269.92,2,0.0,118.72
32,CN-202023-4364300,2024-12-12,2024-12-15,二级,马丽-15910,马丽,消费者,上海,上海,中国,华东,办公用-装订-10004816,办公用品,装订机,"Wilson Jones 标签, 回收",158.9,5,0.0,72.8
33,CN-202023-3230180,2024-09-28,2024-10-02,二级,宋栋-12310,宋栋,公司,唐山,河北,中国,华北,办公用-收纳-10001942,办公用品,收纳具,"Fellowes 文件车, 金属",1272.88,2,0.0,585.48
34,CN-202023-3230180,2024-09-28,2024-10-02,二级,宋栋-12310,宋栋,公司,唐山,河北,中国,华北,家具-椅子-10000374,家具,椅子,"Harbour Creations 椅垫, 可调",1738.1,5,0.0,799.4
50,CN-202023-2396895,2024-06-19,2024-06-22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,技术-电话-10004015,技术,电话,"思科 充电器, 全尺寸",12183.36,4,0.0,1340.08
